Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jenis satwa,Keterangan,Tipe temuan,Usia temuan
PJ_April_2023_000006,Ground,17-Apr-23,17-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,18,17-Apr-23,9:30:54 AM,110.0451117,-1.13293,5/9/2023 11:30,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_April_2023_000006,Ground,17-Apr-23,17-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,7,17-Apr-23,8:43:49 AM,110.039925,-1.13222,5/9/2023 11:30,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_April_2023_000006,Ground,17-Apr-23,17-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,12,17-Apr-23,9:05:40 AM,110.0422233,-1.132851667,5/9/2023 11:30,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
RP_Maret_2023_000003,Ground,27-Mar-23,27-Mar-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Hairani Hairani,Jalan Kaki,3,27-Mar-23,8:54:57 AM,110.0399817,-1.140598333,11/6/2023 14:45,smart smart,Satwa Liar,Tanda Satwa,Enggang Jambul - Berenicornis comatus,,Suara,
PJ_April_2023_000002,Ground,13-Apr-23,13-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,10,13-Apr-23,9:07:37 AM,110.052695,-1.123295,5/9/2023 11:29,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_April_2023_000002,Ground,13-Apr-23,13-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,15,13-Apr-23,9:46:07 AM,110.0514433,-1.123643333,5/9/2023 11:29,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
PJ_April_2023_000002,Ground,13-Apr-23,13-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,17,13-Apr-23,9:56:13 AM,110.0501717,-1.12344,5/9/2023 11:29,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_April_2023_000002,Ground,13-Apr-23,13-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,8,13-Apr-23,8:56:07 AM,110.051485,-1.12408,5/9/2023 20:24,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PJ_September_2023_FFI_000001,Ground,23-Sep-23,23-Sep-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,6,23-Sep-23,8:09:19 AM,110.036865,-1.12563,10/3/2023 12:18,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
RP_Agustus_2023_000005,Ground,26-Aug-23,26-Aug-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Arianto Arianto,Jalan Kaki,11,26-Aug-23,10:41:15 AM,110.0514833,-1.138076667,11/6/2023 14:38,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
RP_Agustus_2023_000005,Ground,26-Aug-23,26-Aug-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Arianto Arianto,Jalan Kaki,13,26-Aug-23,10:45:27 AM,110.051465,-1.137803333,11/6/2023 14:38,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
RP_Agustus_2023_000005,Ground,26-Aug-23,26-Aug-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Arianto Arianto,Jalan Kaki,16,26-Aug-23,10:55:54 AM,110.0504217,-1.136335,11/6/2023 14:38,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
RP_Agustus_2023_000005,Ground,26-Aug-23,26-Aug-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Arianto Arianto,Jalan Kaki,17,26-Aug-23,10:58:00 AM,110.0501983,-1.136285,11/6/2023 14:38,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
RP_Agustus_2023_000005,Ground,26-Aug-23,26-Aug-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Arianto Arianto,Jalan Kaki,41,26-Aug-23,1:46:03 PM,110.0574683,-1.136365,11/6/2023 14:38,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Diatas 1 tahun
