survey.area,transect,plot,loc,hab,l,w,c,area,N.stems,N.stems.oh.food,N.figs,D.all.stems,D.oh.food,per.oh.food,D.figs,N.fruit,per.fruit,N.oh.fruit,per.oh.fruit,,
sungai.paduan,12,12.3,nipah.kuning,peat.swamp,100,10,s,0.1,28,21,0,280,210,75,0,1,3.571428571,1,3.571428571,,
sungai.paduan,12,12.4,nipah.kuning,peat.swamp,100,10,s,0.1,26,20,0,260,200,76.92307692,0,0,0,0,0,1.373626374,0.892857143
sungai.purang,13,13.1,penjalaan,peat.swamp,100,10,s,0.1,44,33,0,440,330,75,0,0,0,0,0,,
sungai.purang,13,13.2,penjalaan,peat.swamp,100,10,s,0.1,35,30,0,350,300,85.71428571,0,0,0,0,0,,
sungai.purang,13,13.3,penjalaan,peat.swamp,100,10,s,0.1,48,40,0,480,400,83.33333333,0,0,0,0,0,,
sungai.purang,13,13.4,penjalaan,peat.swamp,100,10,s,0.1,39,37,1,390,370,94.87179487,10,0,0,0,0,0,
sungai.purang,14,14.1,penjalaan,peat.swamp,100,10,s,0.1,44,39,0,440,390,88.63636364,0,0,0,0,0,,
sungai.purang,14,14.2,penjalaan,peat.swamp,100,10,s,0.1,33,24,0,330,240,72.72727273,0,0,0,0,0,,
sungai.purang,14,14.3,penjalaan,peat.swamp,100,10,s,0.1,34,30,0,340,300,88.23529412,0,0,0,0,0,,
sungai.purang,14,14.4,penjalaan,peat.swamp,100,10,s,0.1,33,30,0,330,300,90.90909091,0,0,0,0,0,0,
sungai.purang,15,15.1,rantau.panjang,peat.swamp,100,10,n,0.1,43,27,0,430,270,62.79069767,0,0,0,0,0,,
sungai.purang,15,15.2,rantau.panjang,peat.swamp,100,10,n,0.1,33,19,0,330,190,57.57575758,0,0,0,0,0,,
sungai.purang,15,15.3,rantau.panjang,peat.swamp,100,10,n,0.1,56,39,0,560,390,69.64285714,0,1,1.785714286,1,1.785714286,,
sungai.purang,15,15.4,rantau.panjang,peat.swamp,100,10,n,0.1,52,29,0,520,290,55.76923077,0,1,1.923076923,1,1.923076923,0.927197802,
sungai.purang,16,16.1,rantau.panjang,peat.swamp,100,10,n,0.1,34,26,0,340,260,76.47058824,0,0,0,0,0,,
sungai.purang,16,16.2,rantau.panjang,peat.swamp,100,10,n,0.1,49,35,0,490,350,71.42857143,0,0,0,0,0,,
sungai.purang,16,16.3,rantau.panjang,peat.swamp,100,10,n,0.1,43,33,0,430,330,76.74418605,0,1,2.325581395,1,2.325581395,,
sungai.purang,16,16.4,rantau.panjang,peat.swamp,100,10,n,0.1,49,38,0,490,380,77.55102041,0,0,0,0,0,0.581395349,
