Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jumlah,Keaktifan,Keterangan,Modus penggunaan kawasan,Pelanggaran,Perlu tindak lanjut,Satuan,Tindakan,Tipe temuan,Usia temuan
PB_April_000006,Ground,21-Apr-22,21-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,21-Apr-22,8:55:13 AM,109.8675167,-1.021541667,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,50,Tidak Aktif,,,Bukan,,batang,Diobservasi,Kebun karet,Diatas 1 tahun
PB_April_000006,Ground,21-Apr-22,21-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,6,21-Apr-22,8:50:27 AM,109.86757,-1.021585,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,20,Aktif,,,Ya,Ya,batang,Diobservasi,Kebun durian,Diatas 1 tahun
PB_April_000006,Ground,21-Apr-22,21-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,21-Apr-22,8:57:09 AM,109.8674733,-1.021548333,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,30,Aktif,,,Bukan,Ya,batang,Diobservasi,Kebun karet,Sangat lama (>3bulan)
PB_Okt_000003,Ground,28-Oct-22,28-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,28-Oct-22,7:54:57 AM,109.8521167,-1.018345,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,100,Tidak Aktif,,,Ya,,m2,Diobservasi,Lahan terbuka,Cukup lama (>1 bulan)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,15,18-Oct-22,9:12:57 AM,109.8463017,-1.039783333,1/15/2023 19:01,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Plang klaim lahan,Sangat lama (>3bulan)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,16,18-Oct-22,9:16:29 AM,109.8461633,-1.039666667,1/15/2023 18:56,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Plang klaim lahan,Sangat lama (>3bulan)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,17,18-Oct-22,9:18:55 AM,109.8452067,-1.039081667,1/15/2023 18:57,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Plang klaim lahan,Sangat lama (>3bulan)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,18-Oct-22,8:33:33 AM,109.8477283,-1.040438333,12/12/2022 15:55,smart smart,Aktivitas Manusia,Penggunaan Kawasan,2,Aktif,,,Ya,Ya,batang,Diobservasi,Kebun sawit,Sangat lama (>3bulan)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,19,18-Oct-22,9:22:41 AM,109.8442817,-1.038738333,1/15/2023 18:57,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Plang klaim lahan,Sangat lama (>3bulan)
PB_Okt_000001,Ground,18-Oct-22,18-Oct-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,20,18-Oct-22,9:23:34 AM,109.8442617,-1.038708333,1/15/2023 18:58,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Plang klaim lahan,Sangat lama (>3bulan)
